driver_id,user_id,vehicle_make,vehicle_model,vehicle_year,license_plate,rating,join_date,is_active
81,512,Toyota,Corolla,2023,HLL-0774,3.44,2020-02-23,0
82,1328,Tesla,Model 3,2023,PHE-4362,4.05,2022-04-15,1
83,7,Kia,Sportage,2023,JYT-5429,3.63,2023-02-24,1
84,1699,Hyundai,Ioniq,2013,ADU-2105,3.63,2019-11-02,1
85,1937,Toyota,Camry,2023,VWQ-1684,4.68,2020-01-03,1
86,741,Tesla,Model 3,2012,SET-0090,3.85,2019-09-11,1
87,194,Honda,Pilot,2017,REV-7474,4.39,2019-10-04,1
88,1941,Subaru,Forester,2020,AEE-1596,3.61,2020-06-18,1
89,868,Hyundai,Elantra,2014,KWH-4622,3.86,2019-06-15,1
90,119,Nissan,Rogue,2014,BBJ-7680,4.57,2019-06-25,1
91,1812,Honda,CR-V,2021,UXS-6957,4.04,2023-12-17,1
92,549,Subaru,Impreza,2019,HMP-7216,4.82,2021-03-26,1
93,1286,Kia,Sportage,2019,LDU-4013,4.45,2021-08-27,1
94,1088,Hyundai,Sonata,2018,URE-5103,4.01,2019-07-15,1
95,1558,Subaru,Legacy,2014,HYP-2474,3.74,2023-02-23,1
96,1654,Toyota,RAV4,2013,BHM-2298,3.52,2021-02-20,1
97,1574,Ford,Escape,2022,HQQ-5533,3.69,2022-08-01,1
98,1105,Subaru,Outback,2012,LLF-3283,4.96,2023-10-29,1
99,947,Nissan,Maxima,2017,PHE-1369,4.39,2020-09-28,1
100,1403,Chevrolet,Silverado,2021,MAN-0760,4.4,2023-06-30,1
101,736,Nissan,Altima,2019,KEU-7374,3.5,2021-05-30,1
102,974,Tesla,Model X,2020,DGH-9658,4.94,2022-10-06,1
103,120,Tesla,Model 3,2016,TTE-7274,3.52,2020-11-16,1
104,1584,Chevrolet,Equinox,2016,ARU-0491,4.33,2022-09-29,1
105,366,Subaru,Impreza,2013,YLE-6253,2.59,2021-03-30,0
106,1794,Mazda,CX-9,2017,DVK-0431,4.64,2023-01-09,1
107,1053,Nissan,Rogue,2021,UAN-7749,3.65,2020-04-30,1
108,539,Chevrolet,Malibu,2017,ZJK-7455,4.09,2020-04-13,1
109,1538,Mazda,Mazda3,2015,LCX-2265,3.93,2020-09-04,0
110,472,Subaru,Outback,2012,FFD-8537,3.53,2023-09-15,1
111,1974,Nissan,Pathfinder,2012,SSP-0525,3.69,2022-09-04,0
112,1987,Hyundai,Ioniq,2014,KDA-6623,4.75,2023-08-23,1
113,1509,Tesla,Model S,2017,EXK-6449,4.66,2020-07-24,1
114,1023,Ford,Fusion,2012,KCY-2772,3.82,2022-09-27,1
115,1755,Nissan,Rogue,2019,BRP-8253,3.77,2021-04-14,1
116,1035,Chevrolet,Silverado,2023,KHZ-6145,4.98,2020-10-21,1
117,929,Honda,Odyssey,2013,XWQ-8993,4.35,2020-04-22,1
118,52,Honda,Accord,2017,FEL-8040,4.85,2021-02-08,1
119,1233,Ford,Escape,2019,YXV-2976,4.08,2022-01-31,0
120,1100,Ford,Fusion,2013,CFW-5527,4.6,2020-04-09,1
121,390,Chevrolet,Malibu,2018,SAM-8495,2.61,2023-09-24,0
122,1783,Nissan,Rogue,2023,MVA-2824,3.61,2022-07-28,0
123,335,Kia,Stinger,2023,MFW-0354,3.75,2023-02-08,1
124,162,Hyundai,Ioniq,2020,DTJ-1443,4.72,2023-08-18,1
125,1981,Subaru,Crosstrek,2018,JLQ-8334,4.79,2020-05-02,1
126,324,Toyota,RAV4,2020,YZD-3678,4.97,2023-11-09,1
127,1968,Chevrolet,Silverado,2013,VXZ-5552,4.91,2023-07-24,1
128,1237,Chevrolet,Traverse,2019,CTV-5363,4.62,2023-04-09,1
129,44,Honda,Civic,2022,RDS-7789,4.24,2019-10-26,1
130,508,Nissan,Sentra,2018,HFR-9102,4.74,2023-03-25,1
131,1653,Honda,Accord,2016,LCY-6053,3.96,2022-11-20,1
132,1623,Tesla,Model X,2022,QBM-0307,4.08,2022-06-08,1
133,612,Honda,Pilot,2023,QXY-6939,3.63,2020-10-29,1
134,969,Mazda,Mazda3,2013,FVR-0336,3.98,2022-07-06,1
135,65,Subaru,Forester,2021,KAD-8794,4.19,2023-04-28,1
136,997,Tesla,Model X,2020,RBQ-6492,3.94,2021-04-09,1
137,1776,Kia,Optima,2022,DWE-4078,4.66,2019-08-29,1
138,1139,Nissan,Sentra,2015,JSW-2479,3.71,2023-07-26,1
139,1869,Tesla,Cybertruck,2012,LJS-0566,4.21,2020-12-23,1
140,139,Kia,Stinger,2023,LBG-9349,4.81,2020-02-03,1
141,1311,Toyota,Corolla,2013,PRL-9320,3.78,2021-09-24,1
142,1564,Honda,Odyssey,2012,FDD-7007,4.5,2022-09-12,1
143,1693,Mazda,Mazda3,2016,XDY-8814,3.65,2021-08-03,1
144,811,Mazda,MX-5,2013,DDN-8059,3.87,2023-08-21,1
145,1839,Kia,Sorento,2015,VKU-0331,4.06,2021-12-08,1
146,412,Tesla,Model Y,2023,XMY-5486,4.28,2022-03-15,1
147,766,Honda,Pilot,2021,ABC-8163,4.2,2023-12-09,1
148,1355,Hyundai,Tucson,2020,QYW-4478,4.34,2023-03-29,1
149,263,Tesla,Cybertruck,2022,UDJ-6956,3.57,2020-12-07,0
150,544,Nissan,Maxima,2020,FYH-2191,4.51,2020-12-22,1
151,1141,Nissan,Maxima,2018,SEQ-7861,4.57,2022-07-07,1
152,207,Hyundai,Elantra,2019,PET-8627,3.77,2023-01-17,1
153,235,Subaru,Impreza,2015,KTY-4320,4.06,2022-07-02,1
154,515,Kia,Optima,2013,EYY-4952,3.8,2019-09-13,1
155,441,Kia,Sportage,2021,CLH-1179,2.62,2020-01-07,0
156,1727,Mazda,MX-5,2016,DCT-4060,4.97,2023-06-13,1
157,103,Nissan,Rogue,2018,FFQ-7932,3.49,2023-09-09,0
158,1795,Chevrolet,Equinox,2018,EQY-0792,3.64,2021-09-10,1
159,24,Chevrolet,Equinox,2019,QXY-2064,4.77,2021-11-30,1
160,1376,Chevrolet,Equinox,2013,WKL-1887,3.8,2020-07-25,0
161,1595,Subaru,Legacy,2020,JAN-3421,3.92,2023-03-31,0
162,1128,Kia,Soul,2018,EHK-2226,3.54,2022-07-28,1
163,319,Chevrolet,Malibu,2019,TAP-3044,4.16,2021-05-14,1
164,677,Chevrolet,Traverse,2017,XGD-2555,3.55,2021-07-21,1
165,866,Hyundai,Sonata,2015,CXC-6009,3.94,2021-11-09,1
166,898,Nissan,Sentra,2015,KDB-8657,4.8,2023-07-27,1
167,1087,Ford,Escape,2020,MLE-0960,3.9,2023-10-21,1
168,1187,Ford,Mustang,2013,UPJ-1517,3.76,2020-12-09,1
169,118,Mazda,Mazda3,2020,NBD-0118,4.36,2020-12-23,1
170,1126,Subaru,Forester,2019,ECF-6703,3.28,2023-11-23,0
171,1724,Subaru,Legacy,2020,NKN-9936,4.62,2023-08-18,1
172,728,Nissan,Maxima,2018,EWD-0098,4.86,2021-07-23,1
173,341,Kia,Sorento,2017,AMU-2774,4.64,2020-03-13,1
174,977,Nissan,Pathfinder,2015,DXX-2373,3.7,2019-09-14,1
175,1495,Chevrolet,Equinox,2022,YHB-4364,4.03,2022-04-15,1
176,176,Mazda,CX-9,2012,YWM-3191,3.72,2023-05-27,1
177,488,Mazda,CX-5,2012,AFN-0474,3.93,2019-09-13,1
178,1206,Mazda,MX-5,2013,XUL-5657,5.0,2020-04-10,1
179,104,Kia,Sorento,2022,TTR-1716,3.83,2019-08-30,1
180,147,Nissan,Altima,2014,EPL-8152,3.5,2019-10-14,1
181,1108,Ford,Fusion,2016,TUF-9161,4.72,2021-05-02,1
182,132,Tesla,Model S,2019,YGP-8836,4.5,2023-06-07,1
183,334,Tesla,Cybertruck,2022,GQX-2043,4.25,2023-06-23,1
184,1099,Kia,Optima,2021,HWC-1278,4.86,2019-12-19,1
185,448,Mazda,MX-5,2017,KKP-2269,4.66,2019-09-25,1
186,1356,Kia,Sportage,2018,DMA-9128,4.94,2022-09-18,1
187,1094,Chevrolet,Silverado,2018,WGQ-1133,2.64,2023-11-17,0
188,1765,Toyota,Corolla,2020,LXY-7610,3.55,2021-01-17,1
189,1461,Hyundai,Tucson,2022,PAX-3059,4.73,2020-06-28,1
190,1281,Ford,Explorer,2019,CQQ-5820,3.89,2023-01-08,1
191,121,Mazda,Mazda3,2019,QSA-8668,4.26,2021-01-22,1
192,94,Kia,Sportage,2015,VWR-2470,3.99,2020-03-29,0
193,452,Honda,Pilot,2014,DBU-6574,4.47,2023-03-07,1
194,744,Mazda,MX-5,2016,YFM-0110,3.95,2020-10-29,0
195,1343,Kia,Soul,2019,MZU-8487,4.49,2023-08-18,1
196,331,Tesla,Model Y,2012,WDG-0830,4.27,2022-03-11,1
197,293,Nissan,Sentra,2023,EAA-3363,4.66,2022-03-23,1
198,1881,Chevrolet,Equinox,2014,HRT-5589,4.42,2021-11-07,1
199,1205,Toyota,Prius,2023,QGZ-4205,3.59,2021-10-02,1
200,891,Subaru,Crosstrek,2021,FHQ-4360,4.86,2020-11-02,1
201,1482,Kia,Sorento,2012,NAY-4349,3.91,2023-12-24,1
202,1640,Mazda,CX-9,2012,NYV-6360,3.82,2023-02-14,1
203,1011,Mazda,CX-5,2013,WYK-7160,3.99,2020-10-15,1
204,62,Subaru,Outback,2013,DTG-6649,3.75,2019-12-17,1
205,547,Nissan,Rogue,2020,SRB-1199,3.81,2023-09-01,0
206,748,Nissan,Sentra,2013,UJN-8554,4.68,2021-05-30,1
207,932,Honda,CR-V,2014,KEY-7969,4.99,2020-04-28,1
208,553,Ford,Escape,2014,NSE-9733,4.64,2019-12-30,1
209,940,Mazda,CX-9,2015,EQM-5697,4.9,2023-10-17,1
210,1131,Subaru,Crosstrek,2019,KRE-0403,4.9,2023-01-19,1
211,190,Hyundai,Santa Fe,2023,WZW-0855,3.7,2022-03-09,1
212,288,Mazda,MX-5,2023,UCV-7625,3.56,2020-01-05,1
213,111,Toyota,RAV4,2022,ZDG-3134,3.4,2019-11-01,0
214,131,Subaru,Impreza,2023,HAZ-3789,4.78,2021-06-12,1
215,1999,Honda,Accord,2016,UHC-5500,4.64,2023-08-24,1
216,510,Mazda,Mazda3,2023,PPS-2528,3.56,2021-10-08,1
217,1684,Honda,CR-V,2016,TDC-9080,4.11,2020-01-05,1
218,1562,Nissan,Sentra,2021,YXF-3197,4.72,2022-01-19,1
219,1479,Chevrolet,Equinox,2014,TVS-2468,4.59,2020-06-19,1
220,1040,Subaru,Crosstrek,2015,BFS-1534,4.87,2021-01-10,1
221,1841,Nissan,Sentra,2021,WCL-6494,3.88,2020-02-18,1
222,1339,Tesla,Model Y,2022,PZF-7220,3.17,2020-08-20,0
223,697,Nissan,Altima,2021,AFC-6434,4.47,2020-02-08,1
224,1956,Hyundai,Tucson,2018,KNG-6813,4.5,2023-02-16,1
225,1526,Chevrolet,Silverado,2019,YLG-4178,4.29,2020-07-22,1
226,1947,Kia,Optima,2016,DGL-0755,4.47,2021-12-07,1
227,1400,Chevrolet,Traverse,2019,ZGM-4176,4.98,2022-07-04,1
228,1474,Mazda,Mazda6,2013,GJG-0853,3.59,2020-01-06,1
229,393,Chevrolet,Traverse,2016,VUS-5675,4.25,2022-05-18,1
230,31,Toyota,Corolla,2012,HSP-5011,4.65,2020-10-27,1
231,450,Nissan,Maxima,2015,RSZ-5336,3.99,2021-04-19,1
232,1302,Hyundai,Santa Fe,2015,NML-5618,4.8,2020-07-24,1
233,339,Subaru,Legacy,2020,ZBS-9417,3.65,2020-11-07,1
234,318,Toyota,Highlander,2018,CGQ-4232,4.71,2023-11-07,1
235,930,Tesla,Cybertruck,2023,RUB-6566,3.93,2023-12-30,0
236,860,Chevrolet,Silverado,2017,CNF-5069,4.33,2020-05-02,1
237,230,Toyota,Camry,2022,PSE-8201,3.8,2021-01-25,1
238,1775,Subaru,Outback,2022,LQA-7737,4.75,2021-11-01,1
239,920,Ford,Fusion,2014,MAJ-5681,3.82,2020-04-10,1
240,1081,Kia,Optima,2018,FVG-5569,4.85,2022-09-12,1
241,1736,Hyundai,Santa Fe,2014,VQR-2418,3.97,2022-10-24,1
242,328,Chevrolet,Malibu,2015,KKN-9816,3.84,2023-05-05,1
243,996,Mazda,Mazda3,2020,MXP-7155,3.69,2019-09-12,1
244,1889,Mazda,MX-5,2020,XFP-3523,3.77,2021-10-23,1
245,155,Subaru,Forester,2014,VFR-5607,4.61,2021-03-21,1
246,1044,Subaru,Forester,2022,GWA-7776,4.58,2019-11-19,1
247,1413,Hyundai,Elantra,2023,VQB-1907,4.06,2023-10-30,1
248,1709,Tesla,Model 3,2023,DJK-1967,3.63,2023-12-21,1
249,485,Ford,Mustang,2022,PMM-9017,4.68,2021-03-05,1
250,1608,Kia,Sportage,2012,NMB-0683,3.63,2023-06-22,1
251,89,Mazda,CX-5,2020,DKC-4759,3.57,2021-02-25,1
252,477,Ford,Mustang,2018,TPA-4426,4.19,2021-05-28,1
253,1991,Toyota,Highlander,2022,YWN-1089,3.88,2022-05-18,1
254,995,Honda,Odyssey,2020,TGT-9654,3.87,2020-07-02,1
255,5,Kia,Soul,2020,RKF-6146,4.28,2023-01-12,1
256,1569,Nissan,Pathfinder,2016,DFL-7375,3.96,2023-10-11,1
257,1026,Nissan,Altima,2019,WVG-9337,4.8,2019-08-26,1
258,1104,Ford,Explorer,2015,TJP-1187,4.2,2021-02-20,1
259,1739,Kia,Sorento,2016,NZN-9021,4.55,2022-04-28,1
260,1162,Ford,Escape,2017,TDQ-6632,4.99,2021-01-17,1
261,800,Chevrolet,Equinox,2015,FUJ-8237,3.83,2020-03-16,1
262,925,Honda,Accord,2013,TLM-8109,3.64,2023-03-22,1
263,865,Chevrolet,Silverado,2015,DRZ-0400,3.78,2023-09-07,0
264,1467,Mazda,CX-9,2017,ZCZ-8775,4.05,2020-08-01,0
265,338,Toyota,Camry,2021,CUC-1592,4.21,2023-05-10,1
266,957,Subaru,Impreza,2023,GZC-7406,4.05,2023-11-09,1
267,1702,Hyundai,Elantra,2012,BQV-8651,3.85,2022-05-21,1
268,1443,Subaru,Impreza,2012,QUK-1796,3.61,2021-12-11,1
269,643,Nissan,Rogue,2017,LCY-6825,4.62,2021-06-21,1
270,542,Toyota,RAV4,2015,MKL-7061,4.67,2019-07-07,1
271,664,Toyota,Corolla,2012,NEK-8080,4.18,2021-03-18,1
272,1091,Chevrolet,Malibu,2014,UGJ-0454,4.44,2022-02-18,1
273,1221,Kia,Stinger,2022,XQZ-8291,4.33,2023-11-12,1
274,1336,Mazda,CX-9,2015,JFW-9754,4.47,2022-11-10,1
275,833,Honda,Accord,2013,SLS-6035,4.7,2021-01-06,1
276,1394,Tesla,Model Y,2012,TLG-8455,4.13,2022-11-30,1
277,1410,Tesla,Model X,2022,HPQ-6769,4.83,2021-01-26,1
278,433,Ford,Mustang,2017,PRP-1527,4.35,2023-11-09,1
279,1030,Chevrolet,Equinox,2015,CWV-2774,4.94,2019-09-21,1
280,461,Kia,Stinger,2023,APD-6448,3.76,2020-08-16,1
281,389,Nissan,Maxima,2023,FQH-6968,4.49,2022-07-24,1
282,825,Toyota,RAV4,2012,XZX-1166,4.32,2023-10-23,1
283,376,Ford,Explorer,2021,UPD-6055,4.45,2020-08-17,1
284,494,Toyota,Highlander,2019,VCV-8783,4.89,2020-02-02,1
285,1651,Nissan,Sentra,2016,KDQ-7828,4.75,2020-05-02,1
286,229,Subaru,Forester,2012,AWL-3800,4.64,2022-03-28,1
287,1210,Chevrolet,Malibu,2013,SVJ-9800,4.42,2020-12-23,1
288,1371,Honda,CR-V,2022,QWH-4785,4.92,2023-01-05,1
289,1544,Kia,Soul,2012,TFG-0442,4.57,2021-12-06,1
290,777,Ford,Explorer,2018,SQJ-5087,4.88,2019-09-06,1
291,1309,Ford,Mustang,2023,YBU-0962,3.8,2021-12-16,1
292,778,Chevrolet,Malibu,2014,YHT-1391,3.62,2019-06-22,1
293,502,Chevrolet,Equinox,2022,CQA-1725,3.7,2022-03-12,1
294,543,Mazda,MX-5,2017,KEL-8535,3.75,2022-08-29,1
295,248,Hyundai,Sonata,2014,WHB-8420,4.52,2019-12-26,1
296,1704,Kia,Sportage,2020,CDM-7611,2.77,2019-12-06,0
297,1555,Subaru,Crosstrek,2020,VCE-5915,4.24,2023-07-07,1
298,1386,Tesla,Model X,2015,UWF-8215,4.99,2021-09-14,1
299,883,Toyota,RAV4,2015,PLT-4756,4.89,2020-01-30,1
300,1710,Subaru,Legacy,2023,BWM-9588,3.8,2021-07-10,0
301,210,Mazda,Mazda6,2013,REF-3603,4.05,2023-10-09,1
302,1899,Hyundai,Ioniq,2019,YSK-1069,3.47,2021-04-01,0
303,1117,Tesla,Model X,2019,UYP-5626,4.68,2019-07-04,1
304,146,Ford,F-150,2012,WVY-6284,4.58,2020-10-26,1
305,439,Mazda,CX-5,2022,DXJ-7566,4.18,2022-06-22,1
306,394,Mazda,CX-9,2012,SLJ-1843,4.65,2023-02-04,1
307,1293,Ford,Fusion,2021,LKB-6764,4.24,2022-06-14,1
308,1207,Ford,Mustang,2021,XNT-1835,4.62,2023-11-06,1
309,1317,Mazda,CX-5,2022,NKE-6202,4.02,2021-06-08,0
310,1826,Kia,Sportage,2023,QSP-0125,4.01,2021-07-07,1
311,14,Nissan,Rogue,2014,YKQ-1382,4.45,2020-02-28,1
312,1752,Mazda,MX-5,2016,UVF-9595,4.11,2020-11-15,1
313,1995,Honda,CR-V,2014,NJZ-4931,4.11,2022-09-19,1
314,1713,Chevrolet,Equinox,2017,NUJ-2955,4.05,2023-01-13,1
315,1134,Subaru,Crosstrek,2016,YYP-0346,3.84,2020-07-02,1
316,779,Nissan,Maxima,2013,XXV-0895,3.8,2023-05-14,1
317,1310,Hyundai,Ioniq,2015,GAW-2334,3.99,2020-01-06,1
318,1450,Chevrolet,Equinox,2017,QFL-7907,3.98,2019-07-03,1
319,690,Tesla,Model S,2014,SRC-9703,4.42,2020-02-05,1
320,878,Tesla,Cybertruck,2019,PQW-7032,4.34,2023-09-18,1
321,593,Hyundai,Santa Fe,2014,XYP-9749,4.38,2021-09-28,1
322,1373,Subaru,Crosstrek,2019,GWD-7598,4.45,2023-07-10,1
323,645,Tesla,Model X,2017,VHT-6119,4.95,2023-12-20,1
324,1741,Kia,Sorento,2012,DWX-0832,3.85,2020-09-27,1
325,726,Ford,Fusion,2017,WBA-3026,3.77,2019-12-23,1
326,1331,Nissan,Rogue,2016,WNK-5944,4.99,2020-08-28,1
327,1243,Kia,Sportage,2022,UTH-4718,4.56,2021-06-25,1
328,1313,Nissan,Sentra,2013,NVE-5871,2.84,2020-03-20,0
329,842,Toyota,RAV4,2021,CKA-0221,4.19,2019-07-20,1
330,1975,Mazda,Mazda6,2019,KSR-1134,4.96,2022-07-26,1
331,1605,Nissan,Pathfinder,2014,KWY-3657,4.18,2023-02-06,1
332,1288,Mazda,Mazda6,2023,CBW-7961,3.82,2021-11-24,1
333,665,Chevrolet,Impala,2022,PEW-0119,3.82,2021-09-21,1
334,1532,Ford,Fusion,2023,LHW-0351,3.99,2021-06-14,1
335,1060,Chevrolet,Impala,2020,EPH-4467,3.83,2023-12-12,1
336,601,Kia,Sorento,2015,YPG-2876,3.77,2021-12-02,1
337,2,Tesla,Cybertruck,2019,APL-1365,4.87,2023-06-12,1
338,1979,Honda,Civic,2019,SVD-9951,3.65,2019-12-19,0
339,1561,Ford,Escape,2018,TTB-1007,4.72,2023-04-05,1
340,1607,Subaru,Crosstrek,2020,NPJ-2773,3.78,2022-12-27,1
341,1983,Mazda,CX-9,2012,VYU-8009,4.08,2019-11-15,1
342,467,Tesla,Cybertruck,2017,CBW-1278,3.53,2020-04-01,1
343,1649,Tesla,Model Y,2023,YTR-0128,3.59,2020-07-07,1
344,1790,Toyota,Highlander,2018,ZBS-4613,4.6,2020-01-23,1
345,258,Chevrolet,Equinox,2013,WYZ-4711,4.51,2020-01-24,1
346,1111,Honda,Pilot,2018,CXB-6013,4.29,2021-11-13,1
347,1865,Chevrolet,Equinox,2021,TFH-1320,4.48,2023-02-22,1
348,15,Nissan,Maxima,2013,DUE-0053,4.88,2019-06-18,1
349,1472,Tesla,Model S,2014,DGD-8573,4.58,2023-11-06,1
350,765,Honda,Accord,2015,TPJ-7587,4.18,2020-03-17,1
351,1267,Nissan,Sentra,2018,YPN-3718,3.61,2023-07-30,1
352,1530,Ford,Fusion,2014,ZYL-3124,3.52,2019-10-04,0
353,506,Subaru,Outback,2018,LQK-1859,3.98,2020-04-20,1
354,1507,Toyota,Corolla,2023,TGF-1694,4.87,2023-01-01,1
355,1397,Subaru,Impreza,2018,XHB-4693,3.76,2020-10-17,1
356,225,Nissan,Pathfinder,2013,DVM-0001,3.68,2020-07-29,1
357,470,Toyota,Prius,2020,FLG-9440,2.67,2023-06-28,0
358,1222,Hyundai,Santa Fe,2013,DAT-9741,3.27,2020-10-17,0
359,192,Toyota,Prius,2023,FBB-8352,4.7,2020-05-24,1
360,1135,Honda,Civic,2012,ALJ-8647,4.24,2020-07-23,1
361,271,Honda,Odyssey,2012,JZV-7618,4.88,2021-11-12,1
362,1853,Kia,Sportage,2014,BQN-8640,4.1,2021-10-19,1
363,469,Honda,CR-V,2017,RAB-1444,3.56,2023-08-12,1
364,164,Nissan,Maxima,2015,PYB-7786,3.5,2020-10-23,1
365,1606,Honda,CR-V,2014,BQN-8288,4.09,2022-10-24,1
366,818,Mazda,CX-9,2022,FBM-4146,3.65,2021-07-22,1
367,125,Honda,Civic,2015,MYM-5287,3.82,2023-04-11,1
368,1380,Mazda,MX-5,2021,GPC-6808,4.83,2023-02-12,1
369,224,Ford,Fusion,2015,MNV-5100,4.5,2019-07-27,1
